"","Champion","Games Won","Total Games","Win Rate","Region"
"317","Morgana","7","15","0.466666666666667","LPL"
"318","Morgana","10","18","0.555555555555556","LCK"
"319","Morgana","4","6","0.666666666666667","LCS"
"320","Morgana","0","0","NaN","LEC"
"321","TahmKench","45","89","0.50561797752809","LPL"
"322","TahmKench","33","53","0.622641509433962","LCK"
"323","TahmKench","21","39","0.538461538461538","LCS"
"324","TahmKench","14","24","0.583333333333333","LEC"
"325","Blitzcrank","6","16","0.375","LPL"
"326","Blitzcrank","11","17","0.647058823529412","LCK"
"327","Blitzcrank","7","12","0.583333333333333","LCS"
"328","Blitzcrank","0","0","NaN","LEC"
"329","Taric","30","53","0.566037735849057","LPL"
"330","Taric","33","67","0.492537313432836","LCK"
"331","Taric","1","6","0.166666666666667","LCS"
"332","Taric","7","9","0.777777777777778","LEC"
"333","Yuumi","18","37","0.486486486486487","LPL"
"334","Yuumi","11","35","0.314285714285714","LCK"
"335","Yuumi","7","15","0.466666666666667","LCS"
"336","Yuumi","7","17","0.411764705882353","LEC"
"337","Alistar","5","11","0.454545454545455","LPL"
"338","Alistar","10","14","0.714285714285714","LCK"
"339","Alistar","0","0","NaN","LCS"
"340","Alistar","0","0","NaN","LEC"
"341","Bard","54","95","0.568421052631579","LPL"
"342","Bard","28","47","0.595744680851064","LCK"
"343","Bard","12","28","0.428571428571429","LCS"
"344","Bard","9","16","0.5625","LEC"
"345","Lulu","0","0","NaN","LPL"
"346","Lulu","6","12","0.5","LCK"
"347","Lulu","0","0","NaN","LCS"
"348","Lulu","0","0","NaN","LEC"
"349","Lux","11","18","0.611111111111111","LPL"
"350","Lux","5","11","0.454545454545455","LCK"
"351","Lux","0","0","NaN","LCS"
"352","Lux","0","0","NaN","LEC"
